_u1.oktmo_code,_u1.osm_name,_u1.region_code
17648000,Селивановский район,VLA
17650000,Собинский район,VLA
17652000,Судогодский район,VLA
17654000,Суздальский район,VLA
17656000,Юрьев-Польский район,VLA
17701000,Владимир,VLA
17720000,Городской округ Гусь-Хрустальный,VLA
17725000,Ковров,VLA
17735000,Муром,VLA
17737000,Радужный,VLA
18602000,Алексеевский район,VOL
18604000,Быковский район,VOL
18605000,Городищенский район,VOL
18606000,Даниловский район,VOL
18608000,Дубовский район,VOL
18610000,Еланский район,VOL
18612000,Жирновский район,VOL
18614000,Иловлинский район,VOL
18616000,Калачевский район,VOL
18618000,Камышинский район,VOL
18620000,Киквидзенский район,VOL
18622000,Клетский район,VOL
18624000,Котельниковский район,VOL
18626000,Котовский район,VOL
18630000,Ленинский район,VOL
18632000,Михайловский район,VOL
18634000,Нехаевский район,VOL
18636000,Николаевский район,VOL
18638000,Новоаннинский район,VOL
18640000,Новониколаевский район,VOL
18642000,Октябрьский район,VOL
18643000,Ольховский район,VOL
18645000,Палласовский район,VOL
18646000,Кумылженский  район,VOL
18647000,Руднянский район,VOL
18649000,Светлоярский район,VOL
18650000,Серафимовичский район,VOL
18651000,Среднеахтубинский район,VOL
18652000,Старополтавский район,VOL
18653000,Суровикинский район,VOL
18654000,Урюпинский район,VOL
18656000,Фроловский район,VOL
18658000,Чернышковский район,VOL
18701000,Волгоград,VOL
18710000,Волжский,VOL
18715000,Камышин,VOL
18720000,Михайловка,VOL
18725000,Урюпинск,VOL
18728000,Фролово,VOL
19605000,Бабаевский район,VLG
19608000,Бабушкинский район,VLG
19610000,Белозерский район,VLG
19612000,Вашкинский район,VLG
19614000,Великоустюгский район,VLG
19616000,Верховажский район,VLG
19618000,Вожегодский район,VLG
19620000,Вологодский район,VLG
19622000,Вытегорский район,VLG
19624000,Грязовецкий район,VLG
19626000,Кадуйский район,VLG
19628000,Кирилловский район,VLG
19630000,Кичменгско-Городецкий район,VLG
19632000,Междуреченский район,VLG
19634000,Никольский район,VLG
19636000,Нюксенский район,VLG
19638000,Сокольский район,VLG
19640000,Сямженский район,VLG
19642000,Тарногский район,VLG
19646000,Тотемский район,VLG
19648000,Усть-Кубинский район,VLG
19650000,Устюженский район,VLG
19652000,Харовский район,VLG
19654000,Чагодощенский район,VLG
19656000,Череповецкий район,VLG
19658000,Шекснинский район,VLG
19701000,Город Вологда,VLG
19730000,Череповец,VLG
20602000,Аннинский район,VRN
20604000,Бобровский район,VRN
20605000,Богучарский район,VRN
20608000,Бутурлиновский район,VRN
20610000,Верхнемамонский район,VRN
20611000,Верхнехавский район,VRN
20612000,Воробьёвский район,VRN
20613000,Грибановский район,VRN
20615000,Калачеевский район,VRN
20617000,Каменский район,VRN
20619000,Кантемировский район,VRN
20620000,Каширский район,VRN
20621000,Лискинский район,VRN
20623000,Нижнедевицкий район,VRN
20625000,Новоусманский район,VRN
20627000,Новохоперский район,VRN
20629000,Ольховатский район,VRN
20631000,Острогожский район,VRN
20633000,Павловский район,VRN
20635000,Панинский район,VRN
20637000,Петропавловский район,VRN
20639000,Поворинский район,VRN
20641000,Подгоренский район,VRN
20643000,Рамонский район,VRN
20645000,Репьёвский район,VRN
20647000,Россошанский район,VRN
20649000,Семилукский район,VRN
20651000,Таловский район,VRN
20654000,Терновский район,VRN
20656000,Хохольский район,VRN
20658000,Эртильский район,VRN
20701000,Воронеж,VRN
20710000,Борисоглебский городской округ,VRN
20727000,Нововоронеж,VRN
22602000,Ардатовский район,NNG
22603000,Арзамасский район,NNG
22605000,Балахнинский район,NNG
22607000,Богородский район,NNG
22609000,Большеболдинский район,NNG
22610000,Большемурашкинский район,NNG
22611000,Город Бор,NNG
22612000,Бутурлинский район,NNG
22614000,Вадский район,NNG
22615000,Варнавинский район,NNG
22617000,Вачский район,NNG
22618000,Ветлужский район,NNG
22619000,Вознесенский район,NNG
22621000,Воротынский район,NNG
22622000,Воскресенский район,NNG
22624000,Город Выкса,NNG
22626000,Гагинский район,NNG
22628000,Городецкий район,NNG
22630000,Дальнеконстантиновский район,NNG
22631000,Володарский район,NNG
22632000,Дивеевский район,NNG
22633000,Княгининский район,NNG
22634000,Ковернинский район,NNG
22635000,Краснобаковский район,NNG
22636000,Краснооктябрьский район,NNG
22637000,Кстовский район,NNG
22638000,Кулебакский район,NNG
22639000,Лукояновский район,NNG
22640000,Лысковский район,NNG
22641000,Навашинский район,NNG
22642000,Павловский район,NNG
22643000,Первомайский район,NNG
22644000,Перевозский район,NNG
22645000,Пильнинский район,NNG
22646000,Починковский район,NNG
22647000,Семёновский городской округ,NNG
22648000,Сергачский район,NNG
22649000,Сеченовский район,NNG
22650000,Сосновский район,NNG
22651000,Спасский район,NNG
22652000,Тонкинский район,NNG
22653000,Тоншаевский район,NNG
22654000,Уренский район,NNG
22655000,Чкаловский район,NNG
22656000,Шарангский район,NNG
22657000,Шатковский район,NNG
22658000,Город Шахунья,NNG
22659000,Сокольский район,NNG
22701000,Город Нижний Новгород,NNG
22703000,Город Арзамас,NNG
22721000,Город Дзержинск,NNG
24601000,Вичугский район,IVA
24602000,Верхнеландеховский район,IVA
24603000,Гаврилово-Посадский район,IVA
24605000,Заволжский район,IVA
24607000,Ивановский район,IVA
24609000,Ильинский район,IVA
24611000,Кинешемский район,IVA
24613000,Комсомольский район,IVA
24614000,Лежневский район,IVA
24615000,Лухский район,IVA
24617000,Палехский район,IVA
24619000,Пестяковский район,IVA
24620000,Приволжский район,IVA
24621000,Пучежский район,IVA
24623000,Родниковский район,IVA
24625000,Савинский район,IVA
24629000,Тейковский район,IVA
24631000,Фурмановский район,IVA
24633000,Шуйский район,IVA
24635000,Южский район,IVA
24637000,Юрьевецкий район,IVA
24701000,Иваново,IVA
24703000,Вичуга,IVA
24705000,Кинешма,IVA
24706000,Кохма,IVA
24707000,Тейково,IVA
24711000,Шуя,IVA
25601000,Балаганский район,IRK
25602000,Бодайбинский район,IRK
25603000,Ангарский район,IRK
25604000,Братский район,IRK
25606000,Жигаловский район,IRK
25608000,Заларинский район,IRK
25610000,Зиминский район,IRK
25612000,Иркутский район,IRK
25614000,Казачинско-Ленский район,IRK
25616000,Катангский район,IRK
25618000,Качугский район,IRK
25620000,Киренский район,IRK
25622000,Куйтунский район,IRK
25624000,Мамско-Чуйский район,IRK
25626000,Нижнеилимский район,IRK
25628000,Нижнеудинский район,IRK
25630000,Ольхонский район,IRK
25634000,Слюдянский район,IRK
25636000,Тайшетский район,IRK
25638000,Тулунский район,IRK
25640000,Усольский район,IRK
25642000,Усть-Илимский район,IRK
25644000,Усть-Кутский район,IRK
25646000,Усть-Удинский район,IRK
25648000,Черемховский район,IRK
25650000,Чунский район,IRK
25655000,Шелеховский район,IRK
25701000,Иркутск,IRK
25714000,Братск,IRK
25720000,Зима,IRK
25726000,Саянск,IRK
25732000,Тулун,IRK
25736000,Усолье Сибирское,IRK
25738000,Усть-Илимск,IRK
25745000,Черемхово,IRK
25746000,Свирск,IRK
25823000,Аларский район,IRK
25825000,Баяндаевский район,IRK
25826000,Боханский район,IRK
25832000,Нукутский район,IRK
25833000,Осинский район,IRK
25837000,Эхирит-Булагатский район,IRK
27606000,Гвардейский район,KGD
27615000,Зеленоградский район,KGD
27633000,Правдинский район,KGD
27701000,Калининград,KGD
27703000,Багратионовский район,KGD
27705000,Балтийский район,KGD
27707000,Гурьевский район,KGD
27709000,Гусевский район,KGD
27710000,Краснознаменский район,KGD
27711000,Ладушкинский городской округ,KGD
27712000,Мамоновский городской округ,KGD
27714000,Неманский район,KGD
27715000,Нестеровский район,KGD
27716000,Озёрский район,KGD
27717000,Пионерский городской округ,KGD
27718000,Полесский район,KGD
27720000,Светлогорский район,KGD
27725000,Светловский городской округ,KGD
27727000,Славский район,KGD
27730000,Советский городской округ,KGD
27735000,Черняховский район,KGD
27740000,Янтарный городской округ,KGD
28602000,Андреапольский район,TVE
28604000,Бежецкий район,TVE
28606000,Бельский район,TVE
28608000,Бологовский район,TVE
28610000,Весьегонский район,TVE
28612000,Вышневолоцкий район,TVE
28614000,Жарковский район,TVE
28616000,Западнодвинский район,TVE
28618000,Зубцовский район,TVE
28620000,Калининский район,TVE
28622000,Калязинский район,TVE
28624000,Кашинский район,TVE
28626000,Кесовогорский район,TVE
28628000,Кимрский район,TVE
28630000,Конаковский район,TVE
28632000,Краснохолмский район,TVE
28634000,Кувшиновский район,TVE
28636000,Лесной район,TVE
28638000,Лихославльский район,TVE
28640000,Максатихинский район,TVE
28642000,Молоковский район,TVE
28643000,Нелидовский район,TVE
28644000,Оленинский район,TVE
28645000,Осташковский район,TVE
28646000,Пеновский район,TVE
28647000,Рамешковский район,TVE
28648000,Ржевский район,TVE
28649000,Сандовский район,TVE
28650000,Селижаровский район,TVE
28651000,Сонковский район,TVE
28652000,Спировский район,TVE
28653000,Старицкий район,TVE
28654000,Торжокский район,TVE
28655000,Торопецкий район,TVE
28656000,Удомельский район,TVE
28657000,Фировский район,TVE
28701000,городской округ Тверь,TVE
28714000,Вышний Волочек,TVE
28726000,Городской округ Кимры,TVE
28745000,Ржев,TVE
28750000,городской округ Торжок,TVE
28753000,Озёрный,TVE
28755000,Удомля,TVE
28756000,Солнечный,TVE
29602000,Бабынинский район,KAL
29604000,Барятинский район,KAL
29606000,Боровский район,KAL
29608000,Дзержинский район,KAL
29610000,Думиничский район,KAL
29612000,Жиздринский район,KAL
29613000,Жуковский район,KAL
29614000,Кировский район,KAL
29615000,Износковский район,KAL
29616000,Козельский район,KAL
29618000,Куйбышевский район,KAL
29620000,Людиновский район,KAL
