dt,zid_oktmo,tid,gender,age,customers_cnt_home,customers_cnt_work
2016-02-01,11605000,Metropolis,1,1,4,4
2016-02-01,11654000,Metropolis,2,2,4,4
2016-02-01,11730000,Himki,2,2,4,4
2016-02-01,12605000,Shuka,2,2,2,2
2016-02-01,12701000,Himki,1,2,2,2
2016-02-01,12701000,Shuka,1,2,2,2
2016-02-01,14610000,Shuka,1,3,5,5
2016-02-01,14640000,Himki,1,4,5,
2016-02-01,14658000,Shuka,2,3,5,5
2016-02-01,14740000,Metropolis,2,4,5,5
2016-02-01,15626000,Shuka,2,2,5,5
2016-02-01,15701000,Himki,1,2,5,5
2016-02-01,15701000,Himki,2,2,5,5
2016-02-01,15701000,Himki,2,4,5,5
2016-02-01,1633000,Shuka,1,2,4,4
2016-02-01,17605000,Himki,1,3,4,4
2016-02-01,17640000,Metropolis,2,2,4,
2016-02-01,17701000,Metropolis,2,3,4,4
2016-02-01,17720000,Metropolis,2,3,4,4
2016-02-01,17725000,Shuka,1,4,4,4
2016-02-01,18618000,Shuka,1,3,6,6
2016-02-01,18618000,Shuka,1,4,3,3
2016-02-01,18626000,Shuka,1,3,3,
2016-02-01,18645000,Metropolis,1,3,3,3
2016-02-01,18654000,Metropolis,1,3,3,3
2016-02-01,18701000,Himki,1,2,3,3
2016-02-01,18701000,Himki,1,4,3,3
2016-02-01,18701000,Himki,2,2,3,3
2016-02-01,18701000,Himki,2,4,3,3
2016-02-01,18701000,Metropolis,1,2,3,3
2016-02-01,18701000,Metropolis,2,2,3,3
2016-02-01,18710000,Himki,2,4,3,3
2016-02-01,18710000,Metropolis,2,2,3,3
2016-02-01,18715000,Metropolis,1,4,3,3
2016-02-01,19620000,Himki,2,2,3,
2016-02-01,19622000,Metropolis,2,2,3,3
2016-02-01,19701000,Metropolis,2,2,3,3
2016-02-01,19730000,Metropolis,1,2,3,3
2016-02-01,20613000,Himki,1,2,4,4
2016-02-01,20615000,Himki,2,1,4,4
2016-02-01,20701000,Himki,1,2,4,4
2016-02-01,20701000,Himki,1,3,4,4
2016-02-01,20701000,Metropolis,1,1,4,4
2016-02-01,22605000,Metropolis,2,2,4,4
2016-02-01,22631000,Shuka,2,3,4,
