dt,hour,tid,gender,age,customers_cnt
2016-02-01,6,Metropolis,1,4,49
2016-02-01,6,Metropolis,2,1,121
2016-02-01,6,Metropolis,2,2,448
2016-02-01,6,Metropolis,2,3,140
2016-02-01,6,Metropolis,2,4,53
2016-02-01,6,Shuka,1,1,46
2016-02-01,6,Shuka,1,2,303
2016-02-01,6,Shuka,1,3,129
2016-02-01,6,Shuka,1,4,117
2016-02-01,6,Shuka,2,1,71
2016-02-01,6,Shuka,2,2,273
2016-02-01,6,Shuka,2,3,171
2016-02-01,6,Shuka,2,4,80
2016-02-01,7,Himki,1,1,41
2016-02-01,7,Himki,1,2,242
2016-02-01,7,Himki,1,3,129
2016-02-01,7,Himki,1,4,72
2016-02-01,7,Himki,2,1,30
2016-02-01,7,Himki,2,2,164
2016-02-01,7,Himki,2,3,121
2016-02-01,7,Himki,2,4,76
2016-02-01,7,Metropolis,1,1,91
2016-02-01,7,Metropolis,1,2,536
2016-02-01,7,Metropolis,1,3,212
2016-02-01,7,Metropolis,1,4,95
2016-02-01,7,Metropolis,2,1,167
2016-02-01,7,Metropolis,2,2,573
2016-02-01,7,Metropolis,2,3,130
2016-02-01,7,Metropolis,2,4,65
2016-02-01,7,Shuka,1,1,41
2016-02-01,7,Shuka,1,2,254
2016-02-01,7,Shuka,1,3,125
2016-02-01,7,Shuka,1,4,83
2016-02-01,7,Shuka,2,1,41
2016-02-01,7,Shuka,2,2,160
2016-02-01,7,Shuka,2,3,129
2016-02-01,7,Shuka,2,4,53
2016-02-01,8,Himki,1,1,53
2016-02-01,8,Himki,1,2,269
2016-02-01,8,Himki,1,3,159
2016-02-01,8,Himki,1,4,57
2016-02-01,8,Himki,2,1,42
2016-02-01,8,Himki,2,2,247
2016-02-01,8,Himki,2,3,119
2016-02-01,8,Himki,2,4,98
2016-02-01,8,Metropolis,1,1,119
2016-02-01,8,Metropolis,1,2,529
2016-02-01,8,Metropolis,1,3,160
2016-02-01,8,Metropolis,1,4,91
2016-02-01,8,Metropolis,2,1,137
2016-02-01,8,Metropolis,2,2,675
2016-02-01,8,Metropolis,2,3,198
2016-02-01,8,Metropolis,2,4,71
2016-02-01,8,Shuka,1,1,57
2016-02-01,8,Shuka,1,2,212
2016-02-01,8,Shuka,1,3,136
2016-02-01,8,Shuka,1,4,65
2016-02-01,8,Shuka,2,1,34
2016-02-01,8,Shuka,2,2,170
2016-02-01,8,Shuka,2,3,156
2016-02-01,8,Shuka,2,4,57
2016-02-01,9,Himki,1,1,96
2016-02-01,9,Himki,1,2,372
2016-02-01,9,Himki,1,3,227
2016-02-01,9,Himki,1,4,65
2016-02-01,9,Himki,2,1,68
2016-02-01,9,Himki,2,2,309
2016-02-01,9,Himki,2,3,122
2016-02-01,9,Himki,2,4,118
2016-02-01,9,Metropolis,1,1,186
2016-02-01,9,Metropolis,1,2,695
2016-02-01,9,Metropolis,1,3,250
2016-02-01,9,Metropolis,1,4,209
2016-02-01,9,Metropolis,2,1,190
2016-02-01,9,Metropolis,2,2,759
2016-02-01,9,Metropolis,2,3,209
