dt,zid_oktmo,tid,gender,age,customers_cnt_home,customers_cnt_work,adm8_municipal_OKTMO_NAME
2016-02-01,36750000,Himki,2,4,2,2,Академическое
2016-02-01,3701000,Himki,1,3,6,10,Академическое
2016-02-01,3701000,Metropolis,1,4,6,6,Академическое
2016-02-01,3703000,Himki,1,2,6,6,Академическое
2016-02-01,3708000,Metropolis,1,4,6,,Академическое
2016-02-01,3726000,Himki,1,2,13,13,Академическое
2016-02-01,3726000,Himki,1,3,6,6,Академическое
2016-02-01,3726000,Himki,2,3,6,6,Академическое
2016-02-01,3726000,Metropolis,1,2,19,10,Академическое
2016-02-01,3726000,Metropolis,2,2,13,,Академическое
2016-02-01,3726000,Shuka,1,2,6,10,Академическое
2016-02-01,3726000,Shuka,2,3,6,6,Академическое
2016-02-01,3726000,Shuka,2,4,6,6,Академическое
2016-02-01,38701000,Himki,2,3,5,5,Академическое
2016-02-01,38701000,Metropolis,1,1,14,14,Академическое
2016-02-01,38701000,Metropolis,2,1,5,5,Академическое
2016-02-01,38701000,Shuka,2,2,5,5,Академическое
2016-02-01,38701000,Shuka,2,3,5,5,Академическое
2016-02-01,38710000,Metropolis,1,2,5,5,Академическое
2016-02-01,38710000,Metropolis,1,4,5,5,Академическое
2016-02-01,40313000,Himki,2,2,4,,Академическое
2016-02-01,40314000,Shuka,1,1,4,,Академическое
2016-02-01,40320000,Himki,2,1,4,,Академическое
2016-02-01,40322000,Metropolis,2,1,4,4,Академическое
2016-02-01,40323000,Metropolis,1,3,4,,Академическое
2016-02-01,40326000,Shuka,1,2,4,4,Академическое
2016-02-01,40329000,Himki,1,3,4,4,Академическое
2016-02-01,40332000,Himki,2,3,4,,Академическое
2016-02-01,40335000,Shuka,2,3,4,,Академическое
2016-02-01,40338000,Himki,1,3,4,,Академическое
2016-02-01,40351000,Himki,1,3,4,,Академическое
2016-02-01,40354000,Himki,2,3,4,,Академическое
2016-02-01,40355000,Metropolis,2,4,4,4,Академическое
2016-02-01,40373000,Metropolis,2,2,4,4,Академическое
2016-02-01,40378000,Shuka,2,2,4,4,Академическое
2016-02-01,40381000,Himki,2,2,4,,Академическое
2016-02-01,40383000,Himki,1,3,4,4,Академическое
2016-02-01,40385000,Shuka,2,3,4,4,Академическое
2016-02-01,40908000,Metropolis,1,2,4,,Академическое
2016-02-01,41612000,Himki,2,3,4,,Академическое
2016-02-01,41612000,Metropolis,1,2,4,,Академическое
2016-02-01,41630000,Shuka,1,4,4,,Академическое
2016-02-01,42615000,Himki,1,2,5,5,Академическое
2016-02-01,45301000,Himki,1,2,8,,Академическое
2016-02-01,45301000,Himki,1,3,4,4,Академическое
2016-02-01,45301000,Metropolis,1,2,8,4,Академическое
2016-02-01,45301000,Metropolis,1,3,11,,Академическое
2016-02-01,45301000,Metropolis,2,2,8,4,Академическое
2016-02-01,45301000,Metropolis,2,3,11,8,Академическое
2016-02-01,45301000,Shuka,1,1,8,,Академическое
2016-02-01,45301000,Shuka,1,2,8,4,Академическое
2016-02-01,45302000,Himki,1,2,4,4,Академическое
2016-02-01,45302000,Himki,1,4,4,4,Академическое
2016-02-01,45302000,Himki,2,1,4,4,Академическое
2016-02-01,45302000,Himki,2,2,4,4,Академическое
2016-02-01,45302000,Himki,2,3,4,,Академическое
2016-02-01,45302000,Metropolis,1,1,4,,Академическое
2016-02-01,45302000,Metropolis,1,2,15,11,Академическое
2016-02-01,45302000,Metropolis,1,3,8,4,Академическое
2016-02-01,45302000,Metropolis,2,2,4,,Академическое
2016-02-01,45302000,Metropolis,2,4,4,4,Академическое
2016-02-01,45302000,Shuka,1,2,19,8,Академическое
2016-02-01,45302000,Shuka,2,1,4,4,Академическое
2016-02-01,45302000,Shuka,2,2,11,8,Академическое
2016-02-01,45302000,Shuka,2,3,4,4,Академическое
2016-02-01,45303000,Himki,2,2,4,,Академическое
2016-02-01,45303000,Himki,2,3,8,,Академическое
2016-02-01,45303000,Metropolis,1,2,15,,Академическое
2016-02-01,45303000,Metropolis,1,4,4,,Академическое
2016-02-01,45303000,Metropolis,2,1,4,,Академическое
2016-02-01,45303000,Metropolis,2,2,8,8,Академическое
2016-02-01,45303000,Metropolis,2,3,4,,Академическое
2016-02-01,45303000,Shuka,1,4,4,,Академическое
2016-02-01,45304000,Metropolis,1,2,4,,Академическое
2016-02-01,45304000,Metropolis,2,2,4,,Академическое
2016-02-01,45304000,Metropolis,2,4,4,,Академическое
2016-02-01,45305000,Himki,1,2,4,,Академическое
2016-02-01,45305000,Himki,2,2,8,8,Академическое
2016-02-01,45305000,Metropolis,1,1,4,4,Академическое
2016-02-01,45305000,Metropolis,1,2,19,8,Академическое
2016-02-01,45305000,Metropolis,1,3,11,4,Академическое
2016-02-01,45305000,Metropolis,2,1,4,4,Академическое
2016-02-01,45305000,Metropolis,2,2,15,8,Академическое
2016-02-01,45305000,Shuka,1,1,4,4,Академическое
2016-02-01,45305000,Shuka,1,2,15,8,Академическое
2016-02-01,45305000,Shuka,1,3,11,4,Академическое
2016-02-01,45305000,Shuka,2,1,4,4,Академическое
2016-02-01,45305000,Shuka,2,2,11,4,Академическое
2016-02-01,45305000,Shuka,2,3,8,8,Академическое
2016-02-01,45305000,Shuka,2,4,4,,Академическое
2016-02-01,45306000,Metropolis,1,1,8,4,Академическое
2016-02-01,45306000,Metropolis,1,2,11,,Академическое
2016-02-01,45306000,Metropolis,2,1,8,,Академическое
2016-02-01,45306000,Metropolis,2,2,11,8,Академическое
2016-02-01,45306000,Metropolis,2,4,4,4,Академическое
2016-02-01,45306000,Shuka,1,2,8,11,Академическое
2016-02-01,45306000,Shuka,1,3,4,,Академическое
2016-02-01,45306000,Shuka,1,4,4,,Академическое
2016-02-01,45306000,Shuka,2,1,8,,Академическое
2016-02-01,45306000,Shuka,2,2,4,,Академическое
2016-02-01,45306000,Shuka,2,3,4,,Академическое
2016-02-01,45307000,Himki,1,2,4,4,Академическое
2016-02-01,45307000,Metropolis,1,1,4,,Академическое
2016-02-01,45307000,Metropolis,1,2,8,,Академическое
2016-02-01,45307000,Metropolis,1,4,4,8,Академическое
2016-02-01,45307000,Metropolis,2,1,11,8,Академическое
2016-02-01,45307000,Metropolis,2,2,8,,Академическое
2016-02-01,45307000,Metropolis,2,3,4,4,Академическое
2016-02-01,45307000,Shuka,1,1,4,4,Академическое
2016-02-01,45307000,Shuka,2,2,4,8,Академическое
2016-02-01,45308000,Himki,1,2,8,8,Академическое
2016-02-01,45308000,Metropolis,1,2,8,,Академическое
2016-02-01,45308000,Metropolis,1,3,4,,Академическое
2016-02-01,45308000,Metropolis,2,1,8,,Академическое
2016-02-01,45308000,Metropolis,2,4,4,,Академическое
2016-02-01,45308000,Shuka,1,1,4,,Академическое
2016-02-01,45308000,Shuka,1,2,4,4,Академическое
2016-02-01,45308000,Shuka,2,2,11,8,Академическое
2016-02-01,45308000,Shuka,2,3,4,,Академическое
2016-02-01,45309000,Himki,1,2,4,,Академическое
2016-02-01,45309000,Himki,1,4,4,4,Академическое
2016-02-01,45309000,Himki,2,2,4,4,Академическое
2016-02-01,45309000,Metropolis,1,1,8,4,Академическое
2016-02-01,45309000,Metropolis,1,2,8,8,Академическое
2016-02-01,45309000,Metropolis,1,3,8,4,Академическое
2016-02-01,45309000,Metropolis,2,1,11,,Академическое
2016-02-01,45309000,Metropolis,2,2,8,8,Академическое
2016-02-01,45309000,Metropolis,2,4,4,4,Академическое
2016-02-01,45309000,Shuka,1,4,4,,Академическое
2016-02-01,45309000,Shuka,2,1,4,,Академическое
2016-02-01,45309000,Shuka,2,2,11,4,Академическое
2016-02-01,45309000,Shuka,2,3,19,8,Академическое
2016-02-01,45310000,Himki,1,3,4,4,Академическое
2016-02-01,45310000,Metropolis,1,2,15,4,Академическое
2016-02-01,45310000,Metropolis,2,2,4,4,Академическое
2016-02-01,45310000,Shuka,1,1,4,4,Академическое
2016-02-01,45310000,Shuka,1,4,4,,Академическое
2016-02-01,45310000,Shuka,2,2,11,8,Академическое
2016-02-01,45311000,Himki,1,2,8,8,Академическое
2016-02-01,45311000,Himki,1,3,4,4,Академическое
2016-02-01,45311000,Metropolis,1,3,4,,Академическое
2016-02-01,45311000,Metropolis,2,2,4,4,Академическое
2016-02-01,45311000,Metropolis,2,3,4,4,Академическое
2016-02-01,45311000,Shuka,2,2,15,11,Академическое
2016-02-01,45311000,Shuka,2,4,8,,Академическое
2016-02-01,45312000,Himki,1,2,23,15,Академическое
2016-02-01,45312000,Himki,2,4,4,4,Академическое
2016-02-01,45312000,Metropolis,1,1,4,,Академическое
2016-02-01,45312000,Metropolis,1,2,8,8,Академическое
2016-02-01,45312000,Metropolis,1,3,11,4,Академическое
2016-02-01,45312000,Metropolis,1,4,4,4,Академическое
2016-02-01,45312000,Metropolis,2,1,8,4,Академическое
2016-02-01,45312000,Metropolis,2,2,11,,Академическое
2016-02-01,45312000,Metropolis,2,3,4,,Академическое
2016-02-01,45312000,Shuka,1,1,8,4,Академическое
2016-02-01,45312000,Shuka,1,2,19,27,Академическое
2016-02-01,45312000,Shuka,1,3,8,11,Академическое
2016-02-01,45312000,Shuka,2,2,8,11,Академическое
2016-02-01,45312000,Shuka,2,3,8,8,Академическое
2016-02-01,45312000,Shuka,2,4,8,4,Академическое
2016-02-01,45313000,Himki,1,1,4,,Академическое
2016-02-01,45313000,Himki,1,2,8,,Академическое
2016-02-01,45313000,Himki,1,4,4,4,Академическое
2016-02-01,45313000,Himki,2,2,4,4,Академическое
2016-02-01,45313000,Himki,2,3,4,4,Академическое
2016-02-01,45313000,Metropolis,1,1,8,4,Академическое
2016-02-01,45313000,Metropolis,1,2,11,4,Академическое
2016-02-01,45313000,Metropolis,1,4,4,,Академическое
2016-02-01,45313000,Metropolis,2,2,8,4,Академическое
2016-02-01,45313000,Metropolis,2,3,4,,Академическое
2016-02-01,45313000,Shuka,1,1,4,4,Академическое
2016-02-01,45313000,Shuka,1,2,11,,Академическое
2016-02-01,45313000,Shuka,1,3,4,4,Академическое
2016-02-01,45313000,Shuka,2,2,19,8,Академическое
2016-02-01,45313000,Shuka,2,3,11,,Академическое
2016-02-01,45314000,Himki,1,1,4,4,Академическое
2016-02-01,45314000,Himki,1,3,4,,Академическое
2016-02-01,45314000,Himki,2,1,4,,Академическое
2016-02-01,45314000,Himki,2,4,4,4,Академическое
2016-02-01,45314000,Metropolis,1,2,4,11,Академическое
2016-02-01,45314000,Metropolis,2,2,15,8,Академическое
2016-02-01,45314000,Shuka,1,2,11,4,Академическое
2016-02-01,45314000,Shuka,1,3,8,8,Академическое
2016-02-01,45314000,Shuka,2,2,8,11,Академическое
2016-02-01,45314000,Shuka,2,3,4,8,Академическое
2016-02-01,45315000,Himki,1,2,4,8,Академическое
2016-02-01,45315000,Himki,2,2,4,4,Академическое
2016-02-01,45315000,Metropolis,1,1,4,,Академическое
2016-02-01,45315000,Metropolis,1,2,11,8,Академическое
2016-02-01,45315000,Metropolis,1,3,11,8,Академическое
2016-02-01,45315000,Metropolis,2,1,4,,Академическое
2016-02-01,45315000,Metropolis,2,2,11,15,Академическое
2016-02-01,45315000,Metropolis,2,3,8,4,Академическое
2016-02-01,45315000,Shuka,1,2,4,15,Академическое
2016-02-01,45315000,Shuka,2,1,4,,Академическое
2016-02-01,45315000,Shuka,2,3,4,4,Академическое
2016-02-01,45315000,Shuka,2,4,4,4,Академическое
2016-02-01,45316000,Himki,1,1,4,,Академическое
2016-02-01,45316000,Himki,1,2,8,4,Академическое
2016-02-01,45316000,Himki,2,2,4,4,Академическое
2016-02-01,45316000,Himki,2,4,4,4,Академическое
2016-02-01,45316000,Metropolis,1,2,11,4,Академическое
2016-02-01,45316000,Metropolis,1,4,4,4,Академическое
2016-02-01,45316000,Metropolis,2,2,8,,Академическое
2016-02-01,45316000,Metropolis,2,3,8,4,Академическое
2016-02-01,45316000,Metropolis,2,4,4,,Академическое
2016-02-01,45316000,Shuka,1,1,4,4,Академическое
2016-02-01,45317000,Himki,1,3,4,,Академическое
2016-02-01,45317000,Metropolis,1,4,4,4,Академическое
2016-02-01,45317000,Metropolis,2,2,4,4,Академическое
2016-02-01,45317000,Shuka,1,2,4,4,Академическое
2016-02-01,45318000,Himki,1,2,11,11,Академическое
2016-02-01,45318000,Himki,1,4,4,4,Академическое
2016-02-01,45318000,Himki,2,1,4,4,Академическое
2016-02-01,45318000,Himki,2,2,4,15,Академическое
2016-02-01,45318000,Metropolis,1,2,15,19,Академическое
2016-02-01,45318000,Metropolis,1,3,8,19,Академическое
2016-02-01,45318000,Metropolis,2,1,4,,Академическое
2016-02-01,45318000,Metropolis,2,2,27,34,Академическое
2016-02-01,45318000,Metropolis,2,3,8,8,Академическое
2016-02-01,45318000,Shuka,1,1,4,15,Академическое
2016-02-01,45318000,Shuka,1,2,4,19,Академическое
2016-02-01,45318000,Shuka,2,1,4,4,Академическое
2016-02-01,45318000,Shuka,2,2,8,30,Академическое
2016-02-01,45318000,Shuka,2,4,4,8,Академическое
2016-02-01,45319000,Himki,1,1,8,8,Академическое
2016-02-01,45319000,Himki,1,2,8,8,Академическое
2016-02-01,45319000,Himki,1,3,11,4,Академическое
2016-02-01,45319000,Himki,1,4,8,4,Академическое
2016-02-01,45319000,Himki,2,2,15,11,Академическое
2016-02-01,45319000,Metropolis,1,2,4,4,Академическое
2016-02-01,45319000,Metropolis,1,3,8,,Академическое
2016-02-01,45319000,Metropolis,1,4,4,,Академическое
2016-02-01,45319000,Metropolis,2,2,4,,Академическое
2016-02-01,45319000,Metropolis,2,3,8,8,Академическое
2016-02-01,45319000,Metropolis,2,4,8,4,Академическое
2016-02-01,45319000,Shuka,1,2,8,4,Академическое
2016-02-01,45319000,Shuka,2,1,4,4,Академическое
2016-02-01,45319000,Shuka,2,2,4,15,Академическое
