Dt1,Dt2,Tid1,Tid2,gender,age,customers_cnt
2016-02-01,2016-02-03,Metropolis,Shuka,2,4,4
2016-02-01,2016-02-03,Shuka,Himki,1,1,4
2016-02-01,2016-02-03,Shuka,Himki,1,2,4
2016-02-01,2016-02-03,Shuka,Himki,1,3,4
2016-02-01,2016-02-03,Shuka,Himki,2,1,4
2016-02-01,2016-02-03,Shuka,Himki,2,2,34
2016-02-01,2016-02-03,Shuka,Himki,2,3,11
2016-02-01,2016-02-03,Shuka,Metropolis,1,2,15
2016-02-01,2016-02-03,Shuka,Metropolis,1,3,4
2016-02-01,2016-02-03,Shuka,Metropolis,1,4,4
2016-02-01,2016-02-03,Shuka,Metropolis,2,1,4
2016-02-01,2016-02-03,Shuka,Metropolis,2,2,19
2016-02-01,2016-02-03,Shuka,Metropolis,2,3,8
2016-02-01,2016-02-03,Shuka,Metropolis,2,4,4
2016-02-01,2016-02-04,Himki,Metropolis,1,1,8
2016-02-01,2016-02-04,Himki,Metropolis,1,2,27
2016-02-01,2016-02-04,Himki,Metropolis,1,3,11
2016-02-01,2016-02-04,Himki,Metropolis,1,4,8
2016-02-01,2016-02-04,Himki,Metropolis,2,1,14
2016-02-01,2016-02-04,Himki,Metropolis,2,2,23
2016-02-01,2016-02-04,Himki,Metropolis,2,4,3
2016-02-01,2016-02-04,Himki,Shuka,1,1,4
2016-02-01,2016-02-04,Himki,Shuka,1,2,4
2016-02-01,2016-02-04,Himki,Shuka,1,3,15
2016-02-01,2016-02-04,Himki,Shuka,2,2,11
2016-02-01,2016-02-04,Metropolis,Himki,1,1,4
2016-02-01,2016-02-04,Metropolis,Himki,1,2,27
2016-02-01,2016-02-04,Metropolis,Himki,1,3,4
2016-02-01,2016-02-04,Metropolis,Himki,1,4,4
2016-02-01,2016-02-04,Metropolis,Himki,2,2,15
2016-02-01,2016-02-04,Metropolis,Himki,2,3,19
2016-02-01,2016-02-04,Metropolis,Himki,2,4,4
2016-02-01,2016-02-04,Metropolis,Shuka,1,2,11
2016-02-01,2016-02-04,Metropolis,Shuka,1,3,11
2016-02-01,2016-02-04,Metropolis,Shuka,1,4,8
2016-02-01,2016-02-04,Metropolis,Shuka,2,1,4
2016-02-01,2016-02-04,Metropolis,Shuka,2,2,11
2016-02-01,2016-02-04,Metropolis,Shuka,2,3,8
2016-02-01,2016-02-04,Metropolis,Shuka,2,4,4
2016-02-01,2016-02-04,Shuka,Himki,1,1,4
2016-02-01,2016-02-04,Shuka,Himki,1,3,11
2016-02-01,2016-02-04,Shuka,Himki,2,2,8
2016-02-01,2016-02-04,Shuka,Himki,2,3,4
2016-02-01,2016-02-04,Shuka,Metropolis,1,2,15
2016-02-01,2016-02-04,Shuka,Metropolis,1,3,8
2016-02-01,2016-02-04,Shuka,Metropolis,1,4,4
2016-02-01,2016-02-04,Shuka,Metropolis,2,1,8
2016-02-01,2016-02-04,Shuka,Metropolis,2,2,11
2016-02-01,2016-02-05,Himki,Metropolis,1,1,4
2016-02-01,2016-02-05,Himki,Metropolis,1,2,15
2016-02-01,2016-02-05,Himki,Metropolis,1,3,15
2016-02-01,2016-02-05,Himki,Metropolis,1,4,4
2016-02-01,2016-02-05,Himki,Metropolis,2,2,19
2016-02-01,2016-02-05,Himki,Metropolis,2,3,8
2016-02-01,2016-02-05,Himki,Metropolis,2,4,11
2016-02-01,2016-02-05,Himki,Shuka,1,2,4
2016-02-01,2016-02-05,Himki,Shuka,1,3,15
2016-02-01,2016-02-05,Himki,Shuka,1,4,4
2016-02-01,2016-02-05,Himki,Shuka,2,2,8
2016-02-01,2016-02-05,Himki,Shuka,2,3,4
2016-02-01,2016-02-05,Metropolis,Himki,1,1,4
2016-02-01,2016-02-05,Metropolis,Himki,1,2,15
2016-02-01,2016-02-05,Metropolis,Himki,1,3,7
2016-02-01,2016-02-05,Metropolis,Himki,2,2,34
2016-02-01,2016-02-05,Metropolis,Himki,2,3,23
2016-02-01,2016-02-05,Metropolis,Himki,2,4,8
2016-02-01,2016-02-05,Metropolis,Shuka,1,2,4
2016-02-01,2016-02-05,Metropolis,Shuka,1,3,8
2016-02-01,2016-02-05,Metropolis,Shuka,1,4,15
2016-02-01,2016-02-05,Metropolis,Shuka,2,2,19
2016-02-01,2016-02-05,Metropolis,Shuka,2,3,8
2016-02-01,2016-02-05,Metropolis,Shuka,2,4,4
2016-02-01,2016-02-05,Shuka,Himki,1,1,4
2016-02-01,2016-02-05,Shuka,Himki,1,2,8
2016-02-01,2016-02-05,Shuka,Himki,1,3,15
2016-02-01,2016-02-05,Shuka,Himki,2,1,7
2016-02-01,2016-02-05,Shuka,Himki,2,2,11
2016-02-01,2016-02-05,Shuka,Himki,2,3,15
2016-02-01,2016-02-05,Shuka,Metropolis,1,1,8
2016-02-01,2016-02-05,Shuka,Metropolis,1,2,15
2016-02-01,2016-02-05,Shuka,Metropolis,1,3,8
2016-02-01,2016-02-05,Shuka,Metropolis,1,4,11
2016-02-01,2016-02-05,Shuka,Metropolis,2,1,4
2016-02-01,2016-02-05,Shuka,Metropolis,2,2,30
2016-02-01,2016-02-05,Shuka,Metropolis,2,4,4
2016-02-01,2016-02-06,Himki,Metropolis,1,1,11
2016-02-01,2016-02-06,Himki,Metropolis,1,2,11
2016-02-01,2016-02-06,Himki,Metropolis,1,3,8
2016-02-01,2016-02-06,Himki,Metropolis,1,4,8
2016-02-01,2016-02-06,Himki,Metropolis,2,1,4
2016-02-01,2016-02-06,Himki,Metropolis,2,2,26
2016-02-01,2016-02-06,Himki,Metropolis,2,3,8
2016-02-01,2016-02-06,Himki,Shuka,1,1,4
2016-02-01,2016-02-06,Himki,Shuka,1,2,8
2016-02-01,2016-02-06,Himki,Shuka,1,3,11
2016-02-01,2016-02-06,Himki,Shuka,2,2,4
2016-02-01,2016-02-06,Himki,Shuka,2,3,8
2016-02-01,2016-02-06,Himki,Shuka,2,4,4
2016-02-01,2016-02-06,Metropolis,Himki,1,1,4
2016-02-01,2016-02-06,Metropolis,Himki,1,2,8
2016-02-01,2016-02-06,Metropolis,Himki,1,3,11
2016-02-01,2016-02-06,Metropolis,Himki,2,1,4
