Dt1,Dt2,Tid1,Tid2,gender,age,customers_cnt
2016-02-01,2016-02-06,Metropolis,Himki,2,2,38
2016-02-01,2016-02-06,Metropolis,Himki,2,3,16
2016-02-01,2016-02-06,Metropolis,Himki,2,4,2
2016-02-01,2016-02-06,Metropolis,Shuka,1,1,4
2016-02-01,2016-02-06,Metropolis,Shuka,1,2,8
2016-02-01,2016-02-06,Metropolis,Shuka,1,4,8
2016-02-01,2016-02-06,Metropolis,Shuka,2,1,4
2016-02-01,2016-02-06,Metropolis,Shuka,2,2,30
2016-02-01,2016-02-06,Metropolis,Shuka,2,3,4
2016-02-01,2016-02-06,Shuka,Himki,1,1,8
2016-02-01,2016-02-06,Shuka,Himki,1,2,19
2016-02-01,2016-02-06,Shuka,Himki,1,3,11
2016-02-01,2016-02-06,Shuka,Himki,1,4,8
2016-02-01,2016-02-06,Shuka,Himki,2,1,3
2016-02-01,2016-02-06,Shuka,Himki,2,2,42
2016-02-01,2016-02-06,Shuka,Himki,2,4,4
2016-02-01,2016-02-06,Shuka,Metropolis,1,1,8
2016-02-01,2016-02-06,Shuka,Metropolis,1,2,8
2016-02-01,2016-02-06,Shuka,Metropolis,1,3,11
2016-02-01,2016-02-06,Shuka,Metropolis,2,1,4
2016-02-01,2016-02-06,Shuka,Metropolis,2,2,23
2016-02-01,2016-02-06,Shuka,Metropolis,2,3,8
2016-02-01,2016-02-06,Shuka,Metropolis,2,4,8
2016-02-01,2016-02-07,Himki,Metropolis,1,1,4
2016-02-01,2016-02-07,Himki,Metropolis,1,2,23
2016-02-01,2016-02-07,Himki,Metropolis,1,3,4
2016-02-01,2016-02-07,Himki,Metropolis,1,4,4
2016-02-01,2016-02-07,Himki,Metropolis,2,1,8
2016-02-01,2016-02-07,Himki,Metropolis,2,2,15
2016-02-01,2016-02-07,Himki,Metropolis,2,4,8
2016-02-01,2016-02-07,Himki,Shuka,1,3,8
2016-02-01,2016-02-07,Himki,Shuka,2,2,8
2016-02-01,2016-02-07,Himki,Shuka,2,3,4
2016-02-01,2016-02-07,Himki,Shuka,2,4,8
2016-02-01,2016-02-07,Metropolis,Himki,1,1,4
2016-02-01,2016-02-07,Metropolis,Himki,1,2,27
2016-02-01,2016-02-07,Metropolis,Himki,1,3,15
2016-02-01,2016-02-07,Metropolis,Himki,1,4,4
2016-02-01,2016-02-07,Metropolis,Himki,2,2,27
2016-02-01,2016-02-07,Metropolis,Himki,2,3,11
2016-02-01,2016-02-07,Metropolis,Himki,2,4,11
2016-02-01,2016-02-07,Metropolis,Shuka,1,1,4
2016-02-01,2016-02-07,Metropolis,Shuka,1,3,8
2016-02-01,2016-02-07,Metropolis,Shuka,1,4,8
2016-02-01,2016-02-07,Metropolis,Shuka,2,2,19
2016-02-01,2016-02-07,Metropolis,Shuka,2,4,4
2016-02-01,2016-02-07,Shuka,Himki,1,1,4
2016-02-01,2016-02-07,Shuka,Himki,1,2,19
2016-02-01,2016-02-07,Shuka,Himki,1,3,4
2016-02-01,2016-02-07,Shuka,Himki,2,1,4
2016-02-01,2016-02-07,Shuka,Himki,2,2,15
2016-02-01,2016-02-07,Shuka,Himki,2,4,4
2016-02-01,2016-02-07,Shuka,Metropolis,1,1,11
2016-02-01,2016-02-07,Shuka,Metropolis,1,2,11
2016-02-01,2016-02-07,Shuka,Metropolis,1,3,15
2016-02-01,2016-02-07,Shuka,Metropolis,2,1,4
2016-02-01,2016-02-07,Shuka,Metropolis,2,2,4
2016-02-01,2016-02-07,Shuka,Metropolis,2,3,4
2016-02-01,2016-02-08,Himki,Metropolis,1,1,8
2016-02-01,2016-02-08,Himki,Metropolis,1,2,27
2016-02-01,2016-02-08,Himki,Metropolis,1,3,4
2016-02-01,2016-02-08,Himki,Metropolis,1,4,8
2016-02-01,2016-02-08,Himki,Metropolis,2,1,4
2016-02-01,2016-02-08,Himki,Metropolis,2,2,15
2016-02-01,2016-02-08,Himki,Metropolis,2,3,4
2016-02-01,2016-02-08,Himki,Metropolis,2,4,8
2016-02-01,2016-02-08,Himki,Shuka,1,1,4
2016-02-01,2016-02-08,Himki,Shuka,1,2,15
2016-02-01,2016-02-08,Himki,Shuka,1,3,8
2016-02-01,2016-02-08,Himki,Shuka,2,2,4
2016-02-01,2016-02-08,Himki,Shuka,2,3,15
2016-02-01,2016-02-08,Metropolis,Himki,1,1,4
2016-02-01,2016-02-08,Metropolis,Himki,1,2,15
2016-02-01,2016-02-08,Metropolis,Himki,1,3,15
2016-02-01,2016-02-08,Metropolis,Himki,1,4,8
2016-02-01,2016-02-08,Metropolis,Himki,2,1,4
2016-02-01,2016-02-08,Metropolis,Himki,2,2,15
2016-02-01,2016-02-08,Metropolis,Himki,2,3,4
2016-02-01,2016-02-08,Metropolis,Himki,2,4,8
2016-02-01,2016-02-08,Metropolis,Shuka,1,1,11
2016-02-01,2016-02-08,Metropolis,Shuka,1,2,15
2016-02-01,2016-02-08,Metropolis,Shuka,1,3,8
2016-02-01,2016-02-08,Metropolis,Shuka,1,4,4
2016-02-01,2016-02-08,Metropolis,Shuka,2,1,4
2016-02-01,2016-02-08,Metropolis,Shuka,2,2,20
2016-02-01,2016-02-08,Metropolis,Shuka,2,3,8
2016-02-01,2016-02-08,Shuka,Himki,1,1,4
2016-02-01,2016-02-08,Shuka,Himki,1,2,15
2016-02-01,2016-02-08,Shuka,Himki,1,3,8
2016-02-01,2016-02-08,Shuka,Himki,2,2,8
2016-02-01,2016-02-08,Shuka,Himki,2,3,4
2016-02-01,2016-02-08,Shuka,Metropolis,1,1,4
2016-02-01,2016-02-08,Shuka,Metropolis,1,2,4
2016-02-01,2016-02-08,Shuka,Metropolis,1,3,8
2016-02-01,2016-02-08,Shuka,Metropolis,2,2,19
2016-02-01,2016-02-08,Shuka,Metropolis,2,3,8
2016-02-01,2016-02-09,Himki,Metropolis,1,2,30
2016-02-01,2016-02-09,Himki,Metropolis,1,3,15
2016-02-01,2016-02-09,Himki,Metropolis,1,4,8
2016-02-01,2016-02-09,Himki,Metropolis,2,1,4
2016-02-01,2016-02-09,Himki,Metropolis,2,2,15
2016-02-01,2016-02-09,Himki,Metropolis,2,4,8
2016-02-01,2016-02-09,Himki,Shuka,1,2,23
2016-02-01,2016-02-09,Himki,Shuka,1,3,8
2016-02-01,2016-02-09,Himki,Shuka,2,2,8
2016-02-01,2016-02-09,Himki,Shuka,2,3,8
2016-02-01,2016-02-09,Himki,Shuka,2,4,8
2016-02-01,2016-02-09,Metropolis,Himki,1,2,23
2016-02-01,2016-02-09,Metropolis,Himki,1,3,11
2016-02-01,2016-02-09,Metropolis,Himki,2,2,23
2016-02-01,2016-02-09,Metropolis,Himki,2,3,19
2016-02-01,2016-02-09,Metropolis,Shuka,1,1,4
2016-02-01,2016-02-09,Metropolis,Shuka,1,2,11
2016-02-01,2016-02-09,Metropolis,Shuka,2,1,4
2016-02-01,2016-02-09,Metropolis,Shuka,2,2,19
2016-02-01,2016-02-09,Metropolis,Shuka,2,3,11
2016-02-01,2016-02-09,Metropolis,Shuka,2,4,8
2016-02-01,2016-02-09,Shuka,Himki,1,2,4
2016-02-01,2016-02-09,Shuka,Himki,1,3,8
2016-02-01,2016-02-09,Shuka,Himki,1,4,10
2016-02-01,2016-02-09,Shuka,Himki,2,2,8
2016-02-01,2016-02-09,Shuka,Himki,2,3,8
2016-02-01,2016-02-09,Shuka,Himki,2,4,4
2016-02-01,2016-02-09,Shuka,Metropolis,1,1,8
2016-02-01,2016-02-09,Shuka,Metropolis,1,2,11
2016-02-01,2016-02-09,Shuka,Metropolis,1,3,4
2016-02-01,2016-02-09,Shuka,Metropolis,2,1,4
2016-02-01,2016-02-09,Shuka,Metropolis,2,2,27
2016-02-01,2016-02-10,Himki,Metropolis,1,2,30
2016-02-01,2016-02-10,Himki,Metropolis,1,3,4
2016-02-01,2016-02-10,Himki,Metropolis,2,1,11
2016-02-01,2016-02-10,Himki,Metropolis,2,2,4
2016-02-01,2016-02-10,Himki,Metropolis,2,3,4
2016-02-01,2016-02-10,Himki,Metropolis,2,4,4
2016-02-01,2016-02-10,Himki,Shuka,1,2,11
2016-02-01,2016-02-10,Himki,Shuka,1,3,4
2016-02-01,2016-02-10,Himki,Shuka,1,4,4
2016-02-01,2016-02-10,Himki,Shuka,2,1,4
2016-02-01,2016-02-10,Himki,Shuka,2,2,15
2016-02-01,2016-02-10,Himki,Shuka,2,3,11
2016-02-01,2016-02-10,Metropolis,Himki,1,1,4
2016-02-01,2016-02-10,Metropolis,Himki,1,2,15
2016-02-01,2016-02-10,Metropolis,Himki,1,4,4
2016-02-01,2016-02-10,Metropolis,Himki,2,2,27
2016-02-01,2016-02-10,Metropolis,Himki,2,3,8
2016-02-01,2016-02-10,Metropolis,Shuka,1,1,4
2016-02-01,2016-02-10,Metropolis,Shuka,1,2,8
2016-02-01,2016-02-10,Metropolis,Shuka,1,3,4
2016-02-01,2016-02-10,Metropolis,Shuka,1,4,4
2016-02-01,2016-02-10,Metropolis,Shuka,2,1,4
2016-02-01,2016-02-10,Metropolis,Shuka,2,2,11
2016-02-01,2016-02-10,Metropolis,Shuka,2,3,8
2016-02-01,2016-02-10,Metropolis,Shuka,2,4,4
2016-02-01,2016-02-10,Shuka,Himki,1,2,8
2016-02-01,2016-02-10,Shuka,Himki,1,3,8
2016-02-01,2016-02-10,Shuka,Himki,1,4,4
2016-02-01,2016-02-10,Shuka,Himki,2,1,4
2016-02-01,2016-02-10,Shuka,Himki,2,2,23
2016-02-01,2016-02-10,Shuka,Himki,2,3,4
2016-02-01,2016-02-10,Shuka,Himki,2,4,8
2016-02-01,2016-02-10,Shuka,Metropolis,1,1,4
2016-02-01,2016-02-10,Shuka,Metropolis,1,2,4
2016-02-01,2016-02-10,Shuka,Metropolis,1,4,4
2016-02-01,2016-02-10,Shuka,Metropolis,2,1,8
2016-02-01,2016-02-10,Shuka,Metropolis,2,2,15
2016-02-01,2016-02-10,Shuka,Metropolis,2,4,8
2016-02-01,2016-02-11,Himki,Metropolis,1,1,8
2016-02-01,2016-02-11,Himki,Metropolis,1,2,23
2016-02-01,2016-02-11,Himki,Metropolis,1,3,8
2016-02-01,2016-02-11,Himki,Metropolis,2,1,15
2016-02-01,2016-02-11,Himki,Metropolis,2,2,15
2016-02-01,2016-02-11,Himki,Metropolis,2,3,8
2016-02-01,2016-02-11,Himki,Shuka,1,2,8
2016-02-01,2016-02-11,Himki,Shuka,1,3,11
2016-02-01,2016-02-11,Himki,Shuka,1,4,4
2016-02-01,2016-02-11,Himki,Shuka,2,1,4
2016-02-01,2016-02-11,Himki,Shuka,2,2,19
2016-02-01,2016-02-11,Himki,Shuka,2,3,4
2016-02-01,2016-02-11,Himki,Shuka,2,4,11
2016-02-01,2016-02-11,Metropolis,Himki,1,2,30
2016-02-01,2016-02-11,Metropolis,Himki,1,4,11
2016-02-01,2016-02-11,Metropolis,Himki,2,2,11
2016-02-01,2016-02-11,Metropolis,Himki,2,3,8
2016-02-01,2016-02-11,Metropolis,Himki,2,4,4
2016-02-01,2016-02-11,Metropolis,Shuka,1,1,11
2016-02-01,2016-02-11,Metropolis,Shuka,1,2,19
2016-02-01,2016-02-11,Metropolis,Shuka,1,3,19
2016-02-01,2016-02-11,Metropolis,Shuka,1,4,11
2016-02-01,2016-02-11,Metropolis,Shuka,2,1,4
2016-02-01,2016-02-11,Metropolis,Shuka,2,2,4
2016-02-01,2016-02-11,Metropolis,Shuka,2,3,4
2016-02-01,2016-02-11,Metropolis,Shuka,2,4,11
2016-02-01,2016-02-11,Shuka,Himki,1,2,15
2016-02-01,2016-02-11,Shuka,Himki,1,3,4
2016-02-01,2016-02-11,Shuka,Himki,2,1,11
2016-02-01,2016-02-11,Shuka,Himki,2,2,19
2016-02-01,2016-02-11,Shuka,Himki,2,3,4
2016-02-01,2016-02-11,Shuka,Himki,2,4,8
2016-02-01,2016-02-11,Shuka,Metropolis,1,2,8
2016-02-01,2016-02-11,Shuka,Metropolis,1,3,4
2016-02-01,2016-02-11,Shuka,Metropolis,2,1,4
2016-02-01,2016-02-11,Shuka,Metropolis,2,2,30
2016-02-01,2016-02-11,Shuka,Metropolis,2,3,11
2016-02-01,2016-02-12,Himki,Metropolis,1,2,23
2016-02-01,2016-02-12,Himki,Metropolis,1,3,19
2016-02-01,2016-02-12,Himki,Metropolis,2,1,4
2016-02-01,2016-02-12,Himki,Metropolis,2,2,38
2016-02-01,2016-02-12,Himki,Metropolis,2,4,4
2016-02-01,2016-02-12,Himki,Shuka,1,1,4
2016-02-01,2016-02-12,Himki,Shuka,1,2,15
2016-02-01,2016-02-12,Himki,Shuka,1,3,11
2016-02-01,2016-02-12,Himki,Shuka,1,4,4
2016-02-01,2016-02-12,Himki,Shuka,2,1,4
2016-02-01,2016-02-12,Himki,Shuka,2,2,15
2016-02-01,2016-02-12,Himki,Shuka,2,3,8
2016-02-01,2016-02-12,Himki,Shuka,2,4,4
2016-02-01,2016-02-12,Metropolis,Himki,1,2,23
2016-02-01,2016-02-12,Metropolis,Himki,1,3,7
2016-02-01,2016-02-12,Metropolis,Himki,1,4,4
2016-02-01,2016-02-12,Metropolis,Himki,2,1,4
2016-02-01,2016-02-12,Metropolis,Himki,2,2,15
2016-02-01,2016-02-12,Metropolis,Shuka,1,1,4
2016-02-01,2016-02-12,Metropolis,Shuka,1,2,19
2016-02-01,2016-02-12,Metropolis,Shuka,1,3,11
2016-02-01,2016-02-12,Metropolis,Shuka,1,4,4
2016-02-01,2016-02-12,Metropolis,Shuka,2,1,4
2016-02-01,2016-02-12,Metropolis,Shuka,2,2,23
2016-02-01,2016-02-12,Shuka,Himki,1,2,27
2016-02-01,2016-02-12,Shuka,Himki,1,3,4
2016-02-01,2016-02-12,Shuka,Himki,1,4,4
2016-02-01,2016-02-12,Shuka,Himki,2,1,4
2016-02-01,2016-02-12,Shuka,Himki,2,2,19
2016-02-01,2016-02-12,Shuka,Himki,2,3,11
2016-02-01,2016-02-12,Shuka,Himki,2,4,4
2016-02-01,2016-02-12,Shuka,Metropolis,1,1,4
2016-02-01,2016-02-12,Shuka,Metropolis,1,2,15
2016-02-01,2016-02-12,Shuka,Metropolis,1,3,8
2016-02-01,2016-02-12,Shuka,Metropolis,1,4,11
2016-02-01,2016-02-12,Shuka,Metropolis,2,1,4
2016-02-01,2016-02-12,Shuka,Metropolis,2,2,38
2016-02-01,2016-02-13,Himki,Metropolis,1,1,4
2016-02-01,2016-02-13,Himki,Metropolis,1,3,11
2016-02-01,2016-02-13,Himki,Metropolis,1,4,4
2016-02-01,2016-02-13,Himki,Metropolis,2,1,11
2016-02-01,2016-02-13,Himki,Metropolis,2,2,4
2016-02-01,2016-02-13,Himki,Metropolis,2,3,19
2016-02-01,2016-02-13,Himki,Shuka,1,1,4
2016-02-01,2016-02-13,Himki,Shuka,1,2,11
2016-02-01,2016-02-13,Himki,Shuka,2,2,11
2016-02-01,2016-02-13,Himki,Shuka,2,3,8
2016-02-01,2016-02-13,Metropolis,Himki,1,1,8
2016-02-01,2016-02-13,Metropolis,Himki,1,2,42
2016-02-01,2016-02-13,Metropolis,Himki,1,3,34
2016-02-01,2016-02-13,Metropolis,Himki,1,4,4
2016-02-01,2016-02-13,Metropolis,Himki,2,1,4
2016-02-01,2016-02-13,Metropolis,Himki,2,2,30
2016-02-01,2016-02-13,Metropolis,Himki,2,3,23
2016-02-01,2016-02-13,Metropolis,Himki,2,4,11
2016-02-01,2016-02-13,Metropolis,Shuka,1,2,4
2016-02-01,2016-02-13,Metropolis,Shuka,1,4,4
2016-02-01,2016-02-13,Metropolis,Shuka,2,1,8
2016-02-01,2016-02-13,Metropolis,Shuka,2,2,34
2016-02-01,2016-02-13,Metropolis,Shuka,2,4,4
2016-02-01,2016-02-13,Shuka,Himki,1,1,4
2016-02-01,2016-02-13,Shuka,Himki,1,2,15
2016-02-01,2016-02-13,Shuka,Himki,1,3,19
2016-02-01,2016-02-13,Shuka,Himki,2,1,8
2016-02-01,2016-02-13,Shuka,Himki,2,2,38
2016-02-01,2016-02-13,Shuka,Himki,2,3,15
